Category,Name,Other Name(s),Description,Convention,Units,Invalid Channel Criteria
,Spn7ALxb2,,Blade 2 local flapwise acceleration (absolute) of span station 7,Directed along the local xb2-axis,(m/s^2),NBlGages < 7
,Spn7ALyb2,,Blade 2 local edgewise acceleration (absolute) of span station 7,Directed along the local yb2-axis,(m/s^2),NBlGages < 7
,Spn7ALzb2,,Blade 2 local axial acceleration (absolute) of span station 7,Directed along the local zb2-axis,(m/s^2),NBlGages < 7
,Spn8ALxb2,,Blade 2 local flapwise acceleration (absolute) of span station 8,Directed along the local xb2-axis,(m/s^2),NBlGages < 8
,Spn8ALyb2,,Blade 2 local edgewise acceleration (absolute) of span station 8,Directed along the local yb2-axis,(m/s^2),NBlGages < 8
,Spn8ALzb2,,Blade 2 local axial acceleration (absolute) of span station 8,Directed along the local zb2-axis,(m/s^2),NBlGages < 8
,Spn9ALxb2,,Blade 2 local flapwise acceleration (absolute) of span station 9,Directed along the local xb2-axis,(m/s^2),NBlGages < 9
,Spn9ALyb2,,Blade 2 local edgewise acceleration (absolute) of span station 9,Directed along the local yb2-axis,(m/s^2),NBlGages < 9
,Spn9ALzb2,,Blade 2 local axial acceleration (absolute) of span station 9,Directed along the local zb2-axis,(m/s^2),NBlGages < 9
,Spn1TDxb2,,Blade 2 local flapwise (translational) deflection (relative to the undeflected position) of span station 1,Directed along the xb2-axis,(m),NBlGages < 1
,Spn1TDyb2,,Blade 2 local edgewise (translational) deflection (relative to the undeflected position) of span station 1,Directed along the yb2-axis,(m),NBlGages < 1
,Spn1TDzb2,,Blade 2 local axial (translational) deflection (relative to the undeflected position) of span station 1,Directed along the zb2-axis,(m),NBlGages < 1
,Spn2TDxb2,,Blade 2 local flapwise (translational) deflection (relative to the undeflected position) of span station 2,Directed along the xb2-axis,(m),NBlGages < 2
,Spn2TDyb2,,Blade 2 local edgewise (translational) deflection (relative to the undeflected position) of span station 2,Directed along the yb2-axis,(m),NBlGages < 2
,Spn2TDzb2,,Blade 2 local axial (translational) deflection (relative to the undeflected position) of span station 2,Directed along the zb2-axis,(m),NBlGages < 2
,Spn3TDxb2,,Blade 2 local flapwise (translational) deflection (relative to the undeflected position) of span station 3,Directed along the xb2-axis,(m),NBlGages < 3
,Spn3TDyb2,,Blade 2 local edgewise (translational) deflection (relative to the undeflected position) of span station 3,Directed along the yb2-axis,(m),NBlGages < 3
,Spn3TDzb2,,Blade 2 local axial (translational) deflection (relative to the undeflected position) of span station 3,Directed along the zb2-axis,(m),NBlGages < 3
,Spn4TDxb2,,Blade 2 local flapwise (translational) deflection (relative to the undeflected position) of span station 4,Directed along the xb2-axis,(m),NBlGages < 4
,Spn4TDyb2,,Blade 2 local edgewise (translational) deflection (relative to the undeflected position) of span station 4,Directed along the yb2-axis,(m),NBlGages < 4
,Spn4TDzb2,,Blade 2 local axial (translational) deflection (relative to the undeflected position) of span station 4,Directed along the zb2-axis,(m),NBlGages < 4
,Spn5TDxb2,,Blade 2 local flapwise (translational) deflection (relative to the undeflected position) of span station 5,Directed along the xb2-axis,(m),NBlGages < 5
,Spn5TDyb2,,Blade 2 local edgewise (translational) deflection (relative to the undeflected position) of span station 5,Directed along the yb2-axis,(m),NBlGages < 5
,Spn5TDzb2,,Blade 2 local axial (translational) deflection (relative to the undeflected position) of span station 5,Directed along the zb2-axis,(m),NBlGages < 5
,Spn6TDxb2,,Blade 2 local flapwise (translational) deflection (relative to the undeflected position) of span station 6,Directed along the xb2-axis,(m),NBlGages < 6
,Spn6TDyb2,,Blade 2 local edgewise (translational) deflection (relative to the undeflected position) of span station 6,Directed along the yb2-axis,(m),NBlGages < 6
,Spn6TDzb2,,Blade 2 local axial (translational) deflection (relative to the undeflected position) of span station 6,Directed along the zb2-axis,(m),NBlGages < 6
,Spn7TDxb2,,Blade 2 local flapwise (translational) deflection (relative to the undeflected position) of span station 7,Directed along the xb2-axis,(m),NBlGages < 7
,Spn7TDyb2,,Blade 2 local edgewise (translational) deflection (relative to the undeflected position) of span station 7,Directed along the yb2-axis,(m),NBlGages < 7
,Spn7TDzb2,,Blade 2 local axial (translational) deflection (relative to the undeflected position) of span station 7,Directed along the zb2-axis,(m),NBlGages < 7
,Spn8TDxb2,,Blade 2 local flapwise (translational) deflection (relative to the undeflected position) of span station 8,Directed along the xb2-axis,(m),NBlGages < 8
,Spn8TDyb2,,Blade 2 local edgewise (translational) deflection (relative to the undeflected position) of span station 8,Directed along the yb2-axis,(m),NBlGages < 8
,Spn8TDzb2,,Blade 2 local axial (translational) deflection (relative to the undeflected position) of span station 8,Directed along the zb2-axis,(m),NBlGages < 8
,Spn9TDxb2,,Blade 2 local flapwise (translational) deflection (relative to the undeflected position) of span station 9,Directed along the xb2-axis,(m),NBlGages < 9
,Spn9TDyb2,,Blade 2 local edgewise (translational) deflection (relative to the undeflected position) of span station 9,Directed along the yb2-axis,(m),NBlGages < 9
,Spn9TDzb2,,Blade 2 local axial (translational) deflection (relative to the undeflected position) of span station 9,Directed along the zb2-axis,(m),NBlGages < 9
,Spn1RDxb2,,"Blade 2 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 1. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb2-axis,(deg),NBlGages < 1
,Spn1RDyb2,,"Blade 2 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 1. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb2-axis,(deg),NBlGages < 1
,Spn1RDzb2,,"Blade 2 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 1. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb2-axis,(deg),NBlGages < 1
,Spn2RDxb2,,"Blade 2 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 2. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb2-axis,(deg),NBlGages < 2
,Spn2RDyb2,,"Blade 2 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 2. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb2-axis,(deg),NBlGages < 2
,Spn2RDzb2,,"Blade 2 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 2. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb2-axis,(deg),NBlGages < 2
,Spn3RDxb2,,"Blade 2 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 3. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb2-axis,(deg),NBlGages < 3
,Spn3RDyb2,,"Blade 2 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 3. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb2-axis,(deg),NBlGages < 3
,Spn3RDzb2,,"Blade 2 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 3. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb2-axis,(deg),NBlGages < 3
,Spn4RDxb2,,"Blade 2 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 4. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb2-axis,(deg),NBlGages < 4
,Spn4RDyb2,,"Blade 2 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 4. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb2-axis,(deg),NBlGages < 4
,Spn4RDzb2,,"Blade 2 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 4. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb2-axis,(deg),NBlGages < 4
,Spn5RDxb2,,"Blade 2 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 5. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb2-axis,(deg),NBlGages < 5
,Spn5RDyb2,,"Blade 2 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 5. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb2-axis,(deg),NBlGages < 5
,Spn5RDzb2,,"Blade 2 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 5. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb2-axis,(deg),NBlGages < 5
,Spn6RDxb2,,"Blade 2 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 6. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb2-axis,(deg),NBlGages < 6
,Spn6RDyb2,,"Blade 2 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 6. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb2-axis,(deg),NBlGages < 6
,Spn6RDzb2,,"Blade 2 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 6. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb2-axis,(deg),NBlGages < 6
,Spn7RDxb2,,"Blade 2 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 7. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb2-axis,(deg),NBlGages < 7
,Spn7RDyb2,,"Blade 2 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 7. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb2-axis,(deg),NBlGages < 7
,Spn7RDzb2,,"Blade 2 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 7. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb2-axis,(deg),NBlGages < 7
,Spn8RDxb2,,"Blade 2 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 8. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb2-axis,(deg),NBlGages < 8
,Spn8RDyb2,,"Blade 2 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 8. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb2-axis,(deg),NBlGages < 8
,Spn8RDzb2,,"Blade 2 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 8. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb2-axis,(deg),NBlGages < 8
,Spn9RDxb2,,"Blade 2 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 9. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb2-axis,(deg),NBlGages < 9
,Spn9RDyb2,,"Blade 2 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 9. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb2-axis,(deg),NBlGages < 9
,Spn9RDzb2,,"Blade 2 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 9. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb2-axis,(deg),NBlGages < 9
Blade 3 Local Span Motions,,,,,,
,Spn1ALxb3,,Blade 3 local flapwise acceleration (absolute) of span station 1,Directed along the local xb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 1 )
,Spn1ALyb3,,Blade 3 local edgewise acceleration (absolute) of span station 1,Directed along the local yb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 1 )
,Spn1ALzb3,,Blade 3 local axial acceleration (absolute) of span station 1,Directed along the local zb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 1 )
,Spn2ALxb3,,Blade 3 local flapwise acceleration (absolute) of span station 2,Directed along the local xb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 2 )
,Spn2ALyb3,,Blade 3 local edgewise acceleration (absolute) of span station 2,Directed along the local yb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 2 )
,Spn2ALzb3,,Blade 3 local axial acceleration (absolute) of span station 2,Directed along the local zb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 2 )
,Spn3ALxb3,,Blade 3 local flapwise acceleration (absolute) of span station 3,Directed along the local xb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 3 )
,Spn3ALyb3,,Blade 3 local edgewise acceleration (absolute) of span station 3,Directed along the local yb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 3 )
,Spn3ALzb3,,Blade 3 local axial acceleration (absolute) of span station 3,Directed along the local zb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 3 )
,Spn4ALxb3,,Blade 3 local flapwise acceleration (absolute) of span station 4,Directed along the local xb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 4 )
,Spn4ALyb3,,Blade 3 local edgewise acceleration (absolute) of span station 4,Directed along the local yb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 4 )
,Spn4ALzb3,,Blade 3 local axial acceleration (absolute) of span station 4,Directed along the local zb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 4 )
,Spn5ALxb3,,Blade 3 local flapwise acceleration (absolute) of span station 5,Directed along the local xb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 5 )
,Spn5ALyb3,,Blade 3 local edgewise acceleration (absolute) of span station 5,Directed along the local yb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 5 )
,Spn5ALzb3,,Blade 3 local axial acceleration (absolute) of span station 5,Directed along the local zb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 5 )
,Spn6ALxb3,,Blade 3 local flapwise acceleration (absolute) of span station 6,Directed along the local xb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 6 )
,Spn6ALyb3,,Blade 3 local edgewise acceleration (absolute) of span station 6,Directed along the local yb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 6 )
,Spn6ALzb3,,Blade 3 local axial acceleration (absolute) of span station 6,Directed along the local zb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 6 )
,Spn7ALxb3,,Blade 3 local flapwise acceleration (absolute) of span station 7,Directed along the local xb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 7 )
,Spn7ALyb3,,Blade 3 local edgewise acceleration (absolute) of span station 7,Directed along the local yb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 7 )
,Spn7ALzb3,,Blade 3 local axial acceleration (absolute) of span station 7,Directed along the local zb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 7 )
,Spn8ALxb3,,Blade 3 local flapwise acceleration (absolute) of span station 8,Directed along the local xb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 8 )
,Spn8ALyb3,,Blade 3 local edgewise acceleration (absolute) of span station 8,Directed along the local yb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 8 )
,Spn8ALzb3,,Blade 3 local axial acceleration (absolute) of span station 8,Directed along the local zb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 8 )
,Spn9ALxb3,,Blade 3 local flapwise acceleration (absolute) of span station 9,Directed along the local xb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 9 )
,Spn9ALyb3,,Blade 3 local edgewise acceleration (absolute) of span station 9,Directed along the local yb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 9 )
,Spn9ALzb3,,Blade 3 local axial acceleration (absolute) of span station 9,Directed along the local zb3-axis,(m/s^2),( NumBl < 3 ) .OR. ( NBlGages < 9 )
,Spn1TDxb3,,Blade 3 local flapwise (translational) deflection (relative to the undeflected position) of span station 1,Directed along the xb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 1 )
,Spn1TDyb3,,Blade 3 local edgewise (translational) deflection (relative to the undeflected position) of span station 1,Directed along the yb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 1 )
,Spn1TDzb3,,Blade 3 local axial (translational) deflection (relative to the undeflected position) of span station 1,Directed along the zb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 1 )
,Spn2TDxb3,,Blade 3 local flapwise (translational) deflection (relative to the undeflected position) of span station 2,Directed along the xb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 2 )
,Spn2TDyb3,,Blade 3 local edgewise (translational) deflection (relative to the undeflected position) of span station 2,Directed along the yb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 2 )
,Spn2TDzb3,,Blade 3 local axial (translational) deflection (relative to the undeflected position) of span station 2,Directed along the zb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 2 )
,Spn3TDxb3,,Blade 3 local flapwise (translational) deflection (relative to the undeflected position) of span station 3,Directed along the xb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 3 )
,Spn3TDyb3,,Blade 3 local edgewise (translational) deflection (relative to the undeflected position) of span station 3,Directed along the yb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 3 )
,Spn3TDzb3,,Blade 3 local axial (translational) deflection (relative to the undeflected position) of span station 3,Directed along the zb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 3 )
,Spn4TDxb3,,Blade 3 local flapwise (translational) deflection (relative to the undeflected position) of span station 4,Directed along the xb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 4 )
,Spn4TDyb3,,Blade 3 local edgewise (translational) deflection (relative to the undeflected position) of span station 4,Directed along the yb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 4 )
,Spn4TDzb3,,Blade 3 local axial (translational) deflection (relative to the undeflected position) of span station 4,Directed along the zb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 4 )
,Spn5TDxb3,,Blade 3 local flapwise (translational) deflection (relative to the undeflected position) of span station 5,Directed along the xb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 5 )
,Spn5TDyb3,,Blade 3 local edgewise (translational) deflection (relative to the undeflected position) of span station 5,Directed along the yb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 5 )
,Spn5TDzb3,,Blade 3 local axial (translational) deflection (relative to the undeflected position) of span station 5,Directed along the zb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 5 )
,Spn6TDxb3,,Blade 3 local flapwise (translational) deflection (relative to the undeflected position) of span station 6,Directed along the xb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 6 )
,Spn6TDyb3,,Blade 3 local edgewise (translational) deflection (relative to the undeflected position) of span station 6,Directed along the yb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 6 )
,Spn6TDzb3,,Blade 3 local axial (translational) deflection (relative to the undeflected position) of span station 6,Directed along the zb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 6 )
,Spn7TDxb3,,Blade 3 local flapwise (translational) deflection (relative to the undeflected position) of span station 7,Directed along the xb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 7 )
,Spn7TDyb3,,Blade 3 local edgewise (translational) deflection (relative to the undeflected position) of span station 7,Directed along the yb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 7 )
,Spn7TDzb3,,Blade 3 local axial (translational) deflection (relative to the undeflected position) of span station 7,Directed along the zb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 7 )
,Spn8TDxb3,,Blade 3 local flapwise (translational) deflection (relative to the undeflected position) of span station 8,Directed along the xb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 8 )
,Spn8TDyb3,,Blade 3 local edgewise (translational) deflection (relative to the undeflected position) of span station 8,Directed along the yb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 8 )
,Spn8TDzb3,,Blade 3 local axial (translational) deflection (relative to the undeflected position) of span station 8,Directed along the zb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 8 )
,Spn9TDxb3,,Blade 3 local flapwise (translational) deflection (relative to the undeflected position) of span station 9,Directed along the xb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 9 )
,Spn9TDyb3,,Blade 3 local edgewise (translational) deflection (relative to the undeflected position) of span station 9,Directed along the yb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 9 )
,Spn9TDzb3,,Blade 3 local axial (translational) deflection (relative to the undeflected position) of span station 9,Directed along the zb3-axis,(m),( NumBl < 3 ) .OR. ( NBlGages < 9 )
,Spn1RDxb3,,"Blade 3 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 1. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 1 )
,Spn1RDyb3,,"Blade 3 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 1. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 1 )
,Spn1RDzb3,,"Blade 3 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 1. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 1 )
,Spn2RDxb3,,"Blade 3 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 2. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 2 )
,Spn2RDyb3,,"Blade 3 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 2. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 2 )
,Spn2RDzb3,,"Blade 3 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 2. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 2 )
,Spn3RDxb3,,"Blade 3 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 3. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 3 )
,Spn3RDyb3,,"Blade 3 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 3. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 3 )
,Spn3RDzb3,,"Blade 3 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 3. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 3 )
